Channel,Treatment,Terrestrial plant volume,Terrestrial plus emergent plant volume,Invert richness,Invert SQS sum,Invert SQS ave
1,FL,0.00,0.60,4,1,1.00
2,FR,1.25,1.53,10,4,1.00
3,FR,2.09,2.72,61,35,1.09
4,FR,3.04,3.63,60,44,1.38
5,FR,1.91,4.72,53,33,1.10
6,FL,0.00,2.58,6,3,1.00
7,FR,1.87,5.15,41,32,1.10
8,DR,1.19,1.54,38,21,1.17
9,FR,0.63,0.63,31,15,1.00
10,FL,0.00,0.00,24,14,1.00
11,FL,0.10,2.70,16,7,1.00
12,FL,0.14,0.26,7,2,1.00
13,FR,4.84,6.04,56,31,1.11
14,FL,0.07,0.07,7,2,1.00
15,DR,0.75,0.82,21,9,1.00
16,FR,4.57,7.03,46,34,1.36
17,FR,0.25,2.59,36,26,1.13
18,FR,3.33,5.29,34,20,1.00
19,FR,3.11,4.93,50,25,1.14
20,FR,1.76,5.09,48,27,1.13
21,DR,0.66,0.80,18,8,1.00
,,,,,,