Channel,Treatment,Ranunculus penicillatus,Berula erecta,Nasturtium officinale,Lemna sp.Ê,Epilobium hirsutum,Epilobium parviflorum,Epilobium tetragonum,Urtica urens,Rumex crispus,Rumex obtusifolius,Persicaria maculosa,Cirsium palustre,Cirsium vulgare,Tripleurospermum indodorum,Salvinia auriculata,Chenopodium album,Stachys sylvatica,Plantago major,Stellaria media,Matricaria discoidea,Veronica anagallis-aquatica,Poaceae,Galium aparine,Poa sp.,Elytrigia sp.,Phalaris arundinacea,Lactuca serriola,Medicago lupulina,Trifolium repens,Sonchus oleraceus,Acer pseudoplatanus
1,FL,0.725,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FR,0.282,0.28,0,0,0,1.24,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025
3,FR,0.024,0,0.295,0,0,1.153,0.161,0.469,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.141,0,0,0,0,0,0,0,0
4,FR,0.011,0,0.26,0,0,0.486,0.728,1.395,0.325,0.041,0.034,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0
5,FR,0.032,0,0.5,0,0,1.503,0.173,0.13,2.31,0.003,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,FL,1.129,0,0,0,0,0,0,0,1.25,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,FR,0.079,0,0.1,0,0,0.786,0.124,0.15,3.181,0.113,0,0.36,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,DR,0.002,0,0.064,0,0.08,0.021,0.572,0.2,0.289,0.038,0.004,0,0.008,0.024,0,0,0,0,0,0,0,0,0,0.139,0,0,0,0,0,0.105,0
9,FR,0.293,0,0,0,0,0.1,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0
10,FL,1.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,FL,0.3,2.4,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,FL,0.859,0,0,0,0,0.012,0,0,0.126,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,FR,0.056,0,0.12,0.001,0.1,0.4125,0.766,0.667,1.08,0.14,0,0.016,0,0.97,0,0,0.016,0,0,0,0.691,0.05,0,0.032,0,0.9,0,0,0,0.075,0
14,FL,1.129,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,DR,0.003,0,0,0.0005,0.05,0.428,0.024,0.058,0.073,0,0,0.01,0,0.09,0,0,0,0,0,0,0.01,0,0,0.027,0,0,0,0.001,0.015,0.038,0
16,FR,0.125,2,0.385,0,0.4,0,1.183,1.2,0.075,0,0,0,0,1.075,0,0,0,0,0,0,0.713,0,0,0,0,0,0,0,0,0,0
17,FR,0.025,1.35,0.995,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,FR,0.056,0.8,0,0,0.288,0.66,0.76,1.06,1.165,0,0,0,0,0.305,0.153,0.012,0,0,0,0,0,0,0.02,0,0,0.068,0,0,0,0,0
19,FR,0.0345,1.675,0.045,0.009,0.621,0,0.955,0.603,0.105,0,0,0,0.105,0.81,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0
20,FR,0.015,1.035,0.265,0,0.565,0.35,0.2,0.405,2.03,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0
21,DR,0.005,0.12,0.006,0.007,0.022,0.266,0.028,0.02,0.01,0,0,0,0,0.118,0,0,0,0.00025,0.0001,0.000625,0.173,0.02,0,0.00025,0,0,0,0,0,0.013,0